Wavelength;Fator
0.4535;0.002363601
0.4545;0.002374389
0.4555;0.002440311
0.4565;0.00249185
0.4575;0.002519417
0.4585;0.0023648
0.4595;0.002410346
0.4605;0.002447502
0.4615;0.002465481
0.4625;0.002524211
0.4635;0.002447502
0.4645;0.002370793
0.4655;0.002449899
0.4665;0.002304871
0.4675;0.002417538
0.4685;0.002392367
0.4695;0.002387573
0.4705;0.002252133
0.4715;0.002421133
0.4725;0.002448701
0.4735;0.002388772
0.4745;0.002460687
0.4755;0.002418736
0.4765;0.002346821
0.4775;0.002489452
0.4785;0.002410346
0.4795;0.002490651
0.4805;0.002441509
0.4815;0.002507431
0.4825;0.002427126
0.4835;0.002422332
0.4845;0.002362403
0.4855;0.0021958
0.4865;0.001950091
0.4875;0.0021958
0.4885;0.002296481
0.4895;0.002351616
0.4905;0.002407949
0.4915;0.002274907
0.4925;0.002274907
0.4935;0.002265318
0.4945;0.002469077
0.4955;0.002310864
0.4965;0.002419935
0.4975;0.002421133
0.4985;0.002238949
0.4995;0.002363601
0.5005;0.002228162
0.5015;0.002174226
0.5025;0.002272509
0.5035;0.002320453
0.5045;0.002242545
0.5055;0.002391169
0.5065;0.002352814
0.5075;0.002286892
0.5085;0.002302474
0.5095;0.002298878
0.5105;0.002336034
0.5115;0.002395963
0.5125;0.002240148
0.5135;0.002232956
0.5145;0.002248538
0.5155;0.002279701
0.5165;0.002002829
0.5175;0.002071148
0.5185;0.00198485
0.5195;0.002193403
0.5205;0.002196999
0.5215;0.002286892
0.5225;0.00218741
0.5235;0.002272509
0.5245;0.002349219
0.5255;0.002315658
0.5265;0.002008822
0.5275;0.002193403
0.5285;0.002276105
0.5295;0.002301275
0.5305;0.002342027
0.5315;0.002355211
0.5325;0.002125084
0.5335;0.002307268
0.5345;0.00222936
0.5355;0.002387573
0.5365;0.002244942
0.5375;0.002258126
0.5385;0.002284495
0.5395;0.002198197
0.5405;0.002123885
0.5415;0.002256928
0.5425;0.002189807
0.5435;0.002254531
0.5445;0.002254531
0.5455;0.002280899
0.5465;0.002254531
0.5475;0.002199396
0.5485;0.002235353
0.5495;0.002273708
0.5505;0.002234155
0.5515;0.002244942
0.5525;0.002214977
0.5535;0.002258126
0.5545;0.002277304
0.5555;0.002276105
0.5565;0.002185013
0.5575;0.002214977
0.5585;0.002144261
0.5595;0.002169431
0.5605;0.002211382
0.5615;0.002188609
0.5625;0.002219772
0.5635;0.002232956
0.5645;0.002224566
0.5655;0.002157446
0.5665;0.002194602
0.5675;0.002264119
0.5685;0.002171829
0.5695;0.002231758
0.5705;0.002123885
0.5715;0.00218741
0.5725;0.002270112
0.5735;0.002250935
0.5745;0.002240148
0.5755;0.0021958
0.5765;0.002214977
0.5775;0.002228162
0.5785;0.002140665
0.5795;0.002193403
0.5805;0.002205389
0.5815;0.002223368
0.5825;0.002247339
0.5835;0.002228162
0.5845;0.002231758
0.5855;0.002140665
0.5865;0.0021958
0.5875;0.002217375
0.5885;0.002099914
0.5895;0.00193451
0.5905;0.002175424
0.5915;0.002144261
0.5925;0.002169431
0.5935;0.002155048
0.5945;0.00212868
0.5955;0.002139467
0.5965;0.002165836
0.5975;0.00213707
0.5985;0.002109502
0.5995;0.002129878
0.6005;0.002095119
0.6015;0.002101112
0.6025;0.002062758
0.6035;0.002144261
0.6045;0.002132275
0.6055;0.002116694
0.6065;0.0021119
0.6075;0.002109502
0.6085;0.002091524
0.6095;0.002092722
0.6105;0.00204358
0.6115;0.002095119
0.6125;0.002045978
0.6135;0.002019609
0.6145;0.002055566
0.6155;0.002055566
0.6165;0.001930914
0.6175;0.002048375
0.6185;0.002068751
0.6195;0.002048375
0.6205;0.002080736
0.6215;0.002027999
0.6225;0.002055566
0.6235;0.001999233
0.6245;0.001987247
0.6255;0.001958481
0.6265;0.002036389
0.6275;0.002036389
0.6285;0.002036389
0.6295;0.002012417
0.631;0.001966871
0.633;0.001981254
0.635;0.001987247
0.637;0.00198485
0.639;0.001981254
0.641;0.001936907
0.643;0.001945297
0.645;0.001952488
0.647;0.001923722
0.649;0.001869786
0.651;0.001927318
0.653;0.001918928
0.655;0.001838623
0.657;0.001661233
0.659;0.001858999
0.661;0.001885368
0.663;0.00186619
0.665;0.001872183
0.667;0.001842219
0.669;0.001855403
0.671;0.001819446
0.673;0.001825439
0.675;0.001812254
0.677;0.001809857
0.679;0.001797871
0.681;0.00179068
0.683;0.001775098
0.685;0.001746332
0.687;0.001760715
0.689;0.001753524
0.691;0.001737942
0.693;0.001737942
0.695;0.001723559
0.697;0.001699588
0.699;0.001710375
0.701;0.00166363
0.703;0.001666027
0.705;0.001698389
0.707;0.00168041
0.709;0.001661233
0.711;0.001662432
0.713;0.001648049
0.715;0.001639659
0.717;0.001624077
0.719;0.001592914
0.721;0.00159651
0.723;0.001616886
0.725;0.001619283
0.727;0.001614488
0.729;0.001582127
0.731;0.001590517
0.733;0.001580928
0.735;0.001570141
0.737;0.001567744
0.739;0.001532985
0.741;0.001509013
0.743;0.001542574
0.745;0.001534184
0.747;0.001538978
0.749;0.001523396
0.751;0.001513808
0.753;0.001510212
0.755;0.001505418
0.757;0.001497028
0.759;0.001487439
0.761;0.001483843
0.763;0.001488637
0.765;0.001464666
0.767;0.001421517
0.769;0.001443091
0.771;0.00144429
0.773;0.001449084
0.775;0.001425113
0.777;0.001434701
0.779;0.001423914
0.781;0.001423914
0.783;0.00141073
0.785;0.001415524
0.787;0.001411928
0.789;0.001408333
0.791;0.001389155
0.793;0.001371177
0.795;0.001360389
0.797;0.001381964
0.799;0.001361588
0.801;0.001369978
0.803;0.001354396
0.805;0.001337616
0.807;0.001343609
0.809;0.001313645
0.811;0.001336418
0.813;0.001337616
0.815;0.001328028
0.817;0.001324432
0.819;0.001276489
0.821;0.001295666
0.823;0.001287276
0.825;0.001289673
0.827;0.001290872
0.829;0.001286077
0.831;0.001281283
0.833;0.001239333
0.835;0.001262106
0.837;0.001260907
0.839;0.001248921
0.841;0.001252517
0.843;0.001232141
0.845;0.001238134
0.847;0.001228545
0.849;0.001163822
0.851;0.001202177
0.853;0.001166219
0.855;0.001051155
0.857;0.001211765
0.859;0.001194985
0.861;0.001194985
0.863;0.001197382
0.865;0.001162623
0.867;0.001054751
0.869;0.001159028
0.871;0.001181801
0.873;0.001172212
0.875;0.001175808
0.877;0.001179404
0.879;0.001149439
0.881;0.001150638
0.883;0.001136255
0.885;0.001154233
0.887;0.001135056
0.889;0.001137453
0.891;0.00113146
0.893;0.001119475
0.895;0.001121872
0.897;0.001125467
0.899;0.001093106
0.901;0.001084716
0.903;0.001084716
0.905;0.001070333
0.907;0.001067936
0.909;0.001031978
0.911;0.001042765
0.913;0.001049957
